MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924810,0.0360000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2.2510000,0.1206851,-0.1207805,-0.0369064
MsgID.LOCAL_VELOCITY,2.2510000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924814,0.0650000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2.5010000,0.1606995,0.0975017,-0.0655707
MsgID.LOCAL_VELOCITY,2.5010000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924810,0.0900000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2.7510000,0.1165166,0.0347331,-0.0902308
MsgID.LOCAL_VELOCITY,2.7510000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.STATE,0.0000000,False,False
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924800,0.1050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.0010000,0.0075102,0.0576607,-0.1051960
MsgID.LOCAL_VELOCITY,3.0010000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974479,37.7924805,0.1070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.2510000,0.0605940,0.1854002,-0.1071894
MsgID.LOCAL_VELOCITY,3.2510000,-0.0000126,-0.0000153,0.0000159
MsgID.GLOBAL_POSITION,0.0000000,-122.3974490,37.7924805,0.0950000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.5010000,0.0596156,0.0851386,-0.0959746
MsgID.LOCAL_VELOCITY,3.5010000,0.0000227,0.0000231,0.0000084
MsgID.GLOBAL_POSITION,0.0000000,-122.3974511,37.7924799,0.0730000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.7510000,-0.0040790,-0.1007123,-0.0730345
MsgID.LOCAL_VELOCITY,3.7510000,-0.0000018,-0.0000055,0.0000101
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924786,0.0410000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,4.0010000,-0.1487443,-0.1577062,-0.0416380
MsgID.LOCAL_VELOCITY,4.0010000,-0.0000028,0.0000111,0.0000030
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924804,0.0060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,4.2510000,-0.0021617,0.3081821,-0.0066707
MsgID.LOCAL_VELOCITY,4.2510000,-0.0000069,-0.0000192,0.0000076
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924805,-0.0260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,4.5010000,0.0103971,0.3058970,0.0260119
MsgID.LOCAL_VELOCITY,4.5010000,0.0000283,0.0000071,0.0035422
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924787,-0.0480000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0600000
MsgID.LOCAL_POSITION,4.7510000,-0.1881646,0.2933558,0.0483847
MsgID.LOCAL_VELOCITY,4.7510000,0.0006533,-0.0023359,-0.0618225
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924785,-0.0350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0200000,-0.1000000
MsgID.LOCAL_POSITION,5.0010000,-0.2121725,0.2751705,0.0351034
MsgID.LOCAL_VELOCITY,5.0010000,0.0141799,-0.0231683,-0.1064643
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924792,0.2410000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.0200000,-2.2200000
MsgID.LOCAL_POSITION,5.2510000,-0.1370919,0.2739435,-0.2414684
